Wavelength,R,G,B,C,M,Y
634.8,0.787655562984375,0.156143107332493,0.0576353968961435,0.105822881543322,0.0338615720237821,0.562444552195878
635,0.787128455979116,0.155807108774142,0.0578033691771185,0.106090417766177,0.0340365828179118,0.56080804225073
635.2,0.786604018669412,0.15547716273429,0.0579726186677991,0.106359933842375,0.0342119383466561,0.559169025517307
635.4,0.786081774432528,0.155153100793181,0.058143101398893,0.106631410009158,0.0343876491344904,0.557527543531381
635.6,0.785561249012921,0.154834756657206,0.0583147736060693,0.106904826154891,0.0345637255573207,0.555883639244851
635.8,0.785041970923543,0.154521966263684,0.0584875917525574,0.107180161818777,0.0347401778380133,0.554237357044387
636,0.784523471847146,0.154214567885633,0.0586615125517483,0.107457396190581,0.0349170160419256,0.552588742770064
636.2,0.784005287037582,0.153912402236544,0.0588364929897941,0.107736508110348,0.0350942500724365,0.550937843734
636.4,0.783486955721106,0.153615312575161,0.0590124903482084,0.108017476068128,0.0352718896664758,0.549284708738992
636.6,0.782968021497679,0.153323144810252,0.0591894622264665,0.108300278203688,0.035449944390055,0.547629388097153
636.8,0.782448032742268,0.153035747605384,0.0593673665646057,0.108584892306162,0.0356284236337976,0.545971933648549
637,0.781926543006151,0.152752972483699,0.059546161665825,0.108871295811562,0.0358073366084692,0.544312398779838
637.2,0.781403111418219,0.15247467393269,0.0597258062190859,0.109159465794934,0.0359866923405076,0.542650838442901
637.4,0.780877303086275,0.152200709508974,0.0599062593217124,0.109449378960382,0.0361664996675532,0.540987309173487
637.6,0.780348689498341,0.151930939943068,0.0600874805019907,0.10974101163102,0.0363467672339792,0.539321869109845
637.8,0.779816848923957,0.151665229244164,0.0602694297417702,0.11003433973892,0.0365275034864216,0.53765457801136
638,0.779281366815484,0.151403444804903,0.0604520674990632,0.11032933881506,0.0367087166693102,0.535985497277194
638.2,0.778741836209409,0.151145457506153,0.0606353547306448,0.110625983979274,0.0368904148203976,0.53431468996492
638.4,0.778197858127643,0.150891141821779,0.0608192529146537,0.1109242499302,0.0370726057662906,0.532642220809159
638.6,0.777649041978825,0.150640375923422,0.0610037240731923,0.111224110935226,0.0372552971179888,0.530968156240219
638.8,0.777095005959626,0.150393041785273,0.0611887307949263,0.111525540820446,0.0374384962666604,0.529292564402729
639,0.776535377456049,0.150149025288848,0.0613742362576856,0.1118285129606,0.037622210380016,0.527615515174278
639.2,0.775969793444732,0.149908216327762,0.0615602042510642,0.112133000269028,0.03780644639892,0.525937080184051
639.4,0.775397900894251,0.149670508912505,0.06174659919902,0.11243897518762,0.0379912110340095,0.524257332831468
639.6,0.774819357166423,0.149435801275216,0.0619333861824756,0.112746409676757,0.0381765107623138,0.522576348304817
639.8,0.774233830417605,0.14920399597446,0.0621205309619183,0.113055275205271,0.0383623518238749,0.520894203599895
640,0.773641,0.148975,0.062308,0.113365542740557,0.0385487402183656,0.519210977538641
640.2,0.773040556858472,0.148748724876154,0.0624957604838902,0.113677182743262,0.0387356817017107,0.517526750787778
640.4,0.772432203810756,0.148525086728197,0.0626837803411909,0.113990165173527,0.038923181782705,0.515841605877445
640.6,0.77181565553167,0.148304006254967,0.0628720282395116,0.114304459501785,0.0391112457196343,0.514155627219834
640.8,0.77119063842071,0.148085408664526,0.0630604735796059,0.114620034719739,0.0392998785168938,0.512468901127834
641,0.770556890465169,0.147869223608393,0.0632490864882616,0.11493685935134,0.0394890849216083,0.510781515833658
641.2,0.769914161103252,0.147655385115782,0.0634378378111901,0.115254901463761,0.039678869420252,0.509093561507488
641.4,0.769262211087192,0.147443831527837,0.0636266991059159,0.11557412867837,0.0398692362352671,0.507405130275841
641.6,0.768600812346363,0.147234505431869,0.0638156426346667,0.115894508181713,0.0400601893216845,0.505716316233089
641.8,0.767929747850402,0.147027353595592,0.0640046413572624,0.116216006736481,0.0402517323637426,0.504027215435546
642,0.767248811472317,0.146822326901359,0.064193668924005,0.116538590692494,0.0404438687715072,0.502337925888706
642.2,0.76655780785161,0.146619380280397,0.0643826996685682,0.116862225997673,0.040636601677491,0.500648547534212
642.4,0.765856552257385,0.146418472647048,0.0645717086008871,0.117186878209017,0.0408299339332733,0.498959182236825
